"S","ID","Rank1","real","Rank2"
-6.7342868,"PV-005895071422",294,"not active",
-6.7340369,"PV-009464592107",295,"not active",
-6.7325072,"PV-008518302066",296,"not active",
-6.7321968,"PV-009901346696",297,"not active",
-6.7318501,"PV-005115415900",298,"not active",
-6.7305183,"PV-006402278574",300,"not active",
-6.729579,"PV-004608811854",301,"not active",
-6.7293839,"PV-007265573358",302,"not active",1334
-6.7291546,"PV-008080995187",303,"not active",
-6.7288494,"PV-010022781955",304,"not active",
-6.7285743,"PV-009968977763",305,"not active",
-6.7284222,"PV-005774160876",306,"not active",
-6.72826,"PV-009606588828",307,"not active",
-6.7280426,"PV-003992265912",308,"not active",
-6.7277036,"PV-005560729671",310,"not active",298
-6.7269325,"PV-006323090019",311,"not active",1409
-6.7269073,"PV-007495782894",312,"not active",
-6.7236104,"PV-005204003329",313,"not active",
-6.7231016,"PV-000425562545",314,"not active",
-6.7230625,"PV-007693534520",315,"not active",
-6.7227449,"PV-009167427800",316,"not active",
-6.7225618,"PV-008901081620",317,"not active",
-6.7225542,"PV-010067425581",318,"not active",
-6.7215538,"PV-008948031291",319,"not active",
-6.7205057,"PV-005801473687",320,"not active",
-6.7202282,"PV-009535740638",321,"not active",
-6.7196751,"PV-009152934509",322,"not active",
-6.7196031,"PV-009090453606",323,"not active",
-6.7194653,"PV-005002793491",324,"not active",
-6.7186661,"PV-005890353355",325,"not active",
-6.71841,"PV-004132651025",326,"not active",
-6.7183924,"PV-000349336786",327,"not active",
-6.7181773,"PV-007664442426",328,"not active",
-6.7166858,"PV-007991474329",330,"not active",1947
-6.7151971,"PV-005522601999",332,"not active",
-6.714324,"PV-006437742803",333,"not active",
-6.71381,"PV-002767941522",334,"not active",
-6.7133245,"PV-009220704025",336,"not active",
-6.7130613,"PV-009390023067",337,"not active",
-6.7119908,"PV-004325923971",339,"not active",233
-6.7118115,"PV-003646709511",340,"not active",
-6.7117658,"PV-007511638086",341,"not active",
-6.7108011,"PV-005873318607",342,"not active",
-6.7107797,"PV-006908509612",343,"not active",
-6.7104192,"PV-005929016141",344,"not active",
